Site,Produt,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,FW_Version,Covarage_Ver,Flow_Ver,Execute_Failure,UNIT_OUT_OF_PROCESS,TestTime,NEP_PASS,BT_RX_SWEEP-2440-3DH5--70_SEN
ITJS,T11,KYW25CD00360006M,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-02,Fail,12/19/2025 10:45,12/19/2025 10:48,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,-73
ITJS,T11,KYW25CD00360006M,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-03,Pass,12/19/2025 10:49,12/19/2025 10:52,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,-73
ITJS,T11,KYW25CD00360006T,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-04,Fail,12/19/2025 10:52,12/19/2025 10:57,V1.0.4.1,WIFI_TX-2412-HT20_MCS7-13,,V0.0.1,V0.0.1,,,,,-73
ITJS,T11,KYW25CD00360006T,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-05,Pass,12/19/2025 11:14,12/19/2025 11:17,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,-73
ITJS,T11,KYW25CD00360006I,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-06,Fail,12/19/2025 11:29,12/19/2025 11:32,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,-73
ITJS,T11,KYW25CD00360006I,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-01,Fail,12/19/2025 11:33,12/19/2025 11:37,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,-73
ITJS,T11,KYW25CD00360006I,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-02,Pass,12/19/2025 11:38,12/19/2025 11:41,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,-73
ITJS,T11,KYW25CD00360006D,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-03,Fail,12/19/2025 11:56:09 AM,12/19/2025 11:59:33 AM,V1.0.4.1,WIFI_TX-2412-OFDM-54M-14,,V0.0.1,V0.0.1,,,,,-73
ITJS,T11,KYW25CD00360006D,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-04,Fail,12/19/2025 12:01:53 PM,12/19/2025 12:05:27 PM,V1.0.4.1,WIFI_TX-2412-OFDM-54M-14,,V0.0.1,V0.0.1,,,,,-73
ITJS,T11,KYW25CD00360006D,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-05,Fail,12/19/2025 1:09:19 PM,12/19/2025 1:12:50 PM,V1.0.4.1,WIFI_TX-2412-OFDM-54M-14,,V0.0.1,V0.0.1,,,,,-73
ITJS,T11,KYW25CD00360006K,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-06,Pass,12/19/2025 11:22:12 AM,12/19/2025 11:25:50 AM,V1.0.4.2,,,V0.0.1,V0.0.1,,,,,-73
