Site,Produt,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,FW_Version,Covarage_Ver,Flow_Ver,Execute_Failure,UNIT_OUT_OF_PROCESS,TestTime,NEP_PASS,WIFI_TX-2412-OFDM-54M-14_Power,WIFI_TX-2442-OFDM-54M-14_Power,WIFI_TX-2472-OFDM-54M-14_Power,WIFI_TX-2412-HT20_MCS7-13_Power,WIFI_TX-2442-HT20_MCS7-13_Power,WIFI_TX-2472-HT20_MCS7-13_Power,WIFI_TX-5180-HT20_MCS7-12_Power,WIFI_TX-5260-HT20_MCS7-12_Power,WIFI_TX-5320-HT20_MCS7-12_Power,WIFI_TX-5500-HT20_MCS7-12_Power,WIFI_TX-5580-HT20_MCS7-12_Power,WIFI_TX-5600-HT20_MCS7-12_Power,WIFI_TX-5660-HT20_MCS7-12_Power,WIFI_TX-5700-HT20_MCS7-12_Power,WIFI_TX-5745-HT20_MCS7-12_Power,WIFI_TX-5785-HT20_MCS7-12_Power,WIFI_TX-5825-HT20_MCS7-12_Power,WIFI_TX-2412-CCK-11M-17_Power,WIFI_TX-2442-CCK-11M-17_Power,WIFI_TX-2472-CCK-11M-17_Power
ITJS,T11,KYW25CD00360006A,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-02,Fail,12/17/2025 8:09:25 PM,12/17/2025 8:20:47 PM,V1.0.3.7,WIFI_TX-2412-OFDM-54M-14,,V0.0.0,V0.0.0,,,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ITJS,T11,KYW25CD00360006A,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-03,Pass,12/17/2025 8:26:51 PM,12/17/2025 8:29:20 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,14.82,14.5,14.27,14.45,13.97,13.9,13.81,13.54,12.68,13.03,13.19,13.61,12.95,12.96,13.21,13.09,12.26,17.74,17.2,17.03
ITJS,T11,KYW25CD00360006C,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-04,Fail,12/19/2025 8:53,12/19/2025 8:56,V1.0.4.1,WIFI_TX-2412-HT20_MCS7-13,,V0.0.0,V0.0.0,,,,,15.75,15.11,15.02,15.22,14.39,14.54,12.47,12.55,11.32,12.34,12.72,12.4,12.04,11.5,12.37,11.15,10.89,18.64,17.88,17.6
ITJS,T11,KYW25CD00360006C,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-05,Fail,12/19/2025 8:56,12/19/2025 9:00,V1.0.4.1,WIFI_TX-2442-OFDM-54M-14,,V0.0.0,V0.0.0,,,,,15.67,14.93,14.77,15.13,14.32,14.48,12.7,12.99,11.63,12.27,12.88,12.75,12.32,11.88,12.53,11.33,11.46,18.41,17.86,17.59
ITJS,T11,KYW25CD00360006C,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-06,Fail,12/19/2025 9:00,12/19/2025 9:04,V1.0.4.1,WIFI_RX-2412-HT20_MCS7--75,,V0.0.0,V0.0.0,,,,,15.36,14.55,14.5,14.84,14.29,14.21,12.67,13.11,11.6,12.38,12.82,12.96,12.35,11.79,12.7,11.51,11.27,18.43,17.66,17.39
ITJS,T11,KYW25CD00360006F,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-01,Fail,12/19/2025 9:29,12/19/2025 9:33,V1.0.4.1,WIFI_TX-2442-OFDM-54M-14,,V0.0.0,V0.0.0,,,,,15.44,14.7,14.45,15.19,14.29,14.08,12.17,12.41,11.11,12.22,12.36,12.49,12.11,11.6,12.37,11.19,10.83,18.4,17.62,17.34
ITJS,T11,KYW25CD00360006F,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-02,Fail,12/19/2025 10:01,12/19/2025 10:05,V1.0.4.1,WIFI_TX-2442-OFDM-54M-14,,V0.0.0,V0.0.0,,,,,15.49,14.69,14.49,14.89,14.12,13.97,12.38,12.79,11.57,12.25,12.62,12.51,11.96,11.56,12.25,11.01,10.9,18.38,17.82,17.56
ITJS,T11,KYW25CD00360006F,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-03,Pass,12/19/2025 10:20,12/19/2025 10:23,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,15.64,14.72,14.45,15.03,14.26,14.22,12.17,12.52,11.27,12.02,12.38,12.28,12.02,11.3,12.33,11.16,10.63,18.38,17.59,17.55
ITJS,T11,KYW25CD00360006R,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-04,Pass,12/19/2025 10:24,12/19/2025 10:28,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,15.45,14.87,14.77,15.02,14.18,14.45,12.35,12.76,11.33,12.3,12.71,12.48,11.97,11.58,12.1,11.42,10.93,18.36,17.82,17.53
ITJS,T11,KYW25CD00360006S,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-05,Fail,12/19/2025 10:28,12/19/2025 10:31,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,15.63,14.7,14.54,15.06,14.2,13.98,12.21,12.67,11.39,12.1,12.56,12.36,12.14,11.45,12.27,11.36,11.14,18.33,17.78,17.51
ITJS,T11,KYW25CD00360006S,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-06,Fail,12/19/2025 10:32,12/19/2025 10:35,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,15.3,14.44,14.42,14.85,13.96,13.94,-999,12.53,11.22,12.44,12.36,12.48,12.21,11.58,12.41,11.24,11.03,18.53,17.76,17.51
ITJS,T11,KYW25CD00360006S,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-01,Pass,12/19/2025 10:40,12/19/2025 10:43,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,15.46,14.67,14.71,15.21,14.31,14.1,12.55,12.62,11.25,12.2,12.45,12.55,12.25,11.83,12.38,11.51,11.11,18.59,17.57,17.54
ITJS,T11,KYW25CD00360006M,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-02,Fail,12/19/2025 10:45,12/19/2025 10:48,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,15.37,14.88,14.55,14.86,13.96,14.19,12.96,12.86,11.41,12.34,12.77,12.56,12.27,11.79,12.54,11.38,11.08,18.55,17.78,17.51
ITJS,T11,KYW25CD00360006M,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-03,Pass,12/19/2025 10:49,12/19/2025 10:52,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,15.6,14.73,14.41,14.87,14.18,13.84,12.51,12.73,11.24,12.09,12.47,12.32,12.01,11.75,12.36,11.22,10.85,18.35,17.55,17.3
ITJS,T11,KYW25CD00360006T,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-04,Fail,12/19/2025 10:52,12/19/2025 10:57,V1.0.4.1,WIFI_TX-2412-HT20_MCS7-13,,V0.0.1,V0.0.1,,,,,15.48,14.68,14.36,15.3,14.46,14.24,12.69,12.49,11.45,12.15,12.79,12.36,12.19,11.72,12.39,11.49,10.81,18.53,17.55,17.51
ITJS,T11,KYW25CD00360006T,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-05,Pass,12/19/2025 11:14,12/19/2025 11:17,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,15.37,14.61,14.66,14.8,14.22,14.17,12.36,12.57,11.2,12.1,12.51,12.63,12.19,11.52,12.3,11.39,11.07,18.52,17.77,17.49
ITJS,T11,KYW25CD00360006I,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-06,Fail,12/19/2025 11:29,12/19/2025 11:32,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,15.42,14.96,14.63,14.87,14.35,14.05,12.16,12.36,11.27,12.34,12.5,12.6,11.96,11.66,12.25,11.03,10.73,18.31,17.76,17.51
ITJS,T11,KYW25CD00360006I,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-01,Fail,12/19/2025 11:33,12/19/2025 11:37,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,15.54,14.73,14.39,14.97,14.07,14.14,12.5,12.61,11.18,12.06,12.59,12.67,12.26,11.66,12.42,11.24,10.88,18.32,17.78,17.51
ITJS,T11,KYW25CD00360006I,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-02,Pass,12/19/2025 11:38,12/19/2025 11:41,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,15.58,14.92,14.67,15.02,14.39,14.13,12.26,12.74,11.56,12.42,12.57,12.71,12.06,11.78,12.67,11.19,11.18,18.51,17.75,17.47
ITJS,T11,KYW25CD00360006D,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-03,Fail,12/19/2025 11:56:09 AM,12/19/2025 11:59:33 AM,V1.0.4.1,WIFI_TX-2412-OFDM-54M-14,,V0.0.1,V0.0.1,,,,,17.47,16.82,16.53,17.13,16.45,16.13,14.53,14.56,13.27,14.38,14.69,14.54,14.13,13.77,14.44,13.2,13.24,20.54,19.53,19.47
ITJS,T11,KYW25CD00360006D,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-04,Fail,12/19/2025 12:01:53 PM,12/19/2025 12:05:27 PM,V1.0.4.1,WIFI_TX-2412-OFDM-54M-14,,V0.0.1,V0.0.1,,,,,17.6,16.72,16.55,17.01,16.15,16.18,14.08,14.88,13.18,14.31,14.78,14.68,14.22,13.62,14.42,13.21,12.95,20.72,19.74,19.7
ITJS,T11,KYW25CD00360006D,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-05,Fail,12/19/2025 1:09:19 PM,12/19/2025 1:12:50 PM,V1.0.4.1,WIFI_TX-2412-OFDM-54M-14,,V0.0.1,V0.0.1,,,,,17.36,16.71,16.56,17.12,16.35,16.04,14.49,14.8,13.42,14.35,14.96,14.53,14.61,14.11,15,13.92,13.66,20.38,19.62,19.32
ITJS,T11,KYW25CD00360006K,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-06,Pass,12/19/2025 11:22:12 AM,12/19/2025 11:25:50 AM,V1.0.4.2,,,V0.0.1,V0.0.1,,,,,15.52,14.73,14.41,14.91,14.15,14.16,12.46,12.84,11.43,12.34,12.74,12.57,12.07,11.68,12.47,11.18,11.28,18.34,17.55,17.51
