Site,Produt,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,FW_Version,Covarage_Ver,Flow_Ver,Execute_Failure,UNIT_OUT_OF_PROCESS,TestTime,NEP_PASS,BT_TX-2402-2DH5-19_DEVMPEAK,BT_TX-2440-2DH5-19_DEVMPEAK,BT_TX-2480-2DH5-19_DEVMPEAK,BT_TX-2402-3DH5-19_DEVMPEAK,BT_TX-2440-3DH5-19_DEVMPEAK,BT_TX-2480-3DH5-19_DEVMPEAK
ITJS,T11,KYW25CD00360006S,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-05,Fail,12/19/2025 10:28,12/19/2025 10:31,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,4.4,5.59,4.67,2.19,3.3,5.45
ITJS,T11,KYW25CD00360006S,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-06,Fail,12/19/2025 10:32,12/19/2025 10:35,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,4.38,5.76,4.6,2.07,4.51,5.56
ITJS,T11,KYW25CD00360006S,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-01,Pass,12/19/2025 10:40,12/19/2025 10:43,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,4.45,5.56,5.2,2.87,4.94,6.19
ITJS,T11,KYW25CD00360006M,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-02,Fail,12/19/2025 10:45,12/19/2025 10:48,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,4.34,5.16,5.07,3.52,4.1,4.59
ITJS,T11,KYW25CD00360006M,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-03,Pass,12/19/2025 10:49,12/19/2025 10:52,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,4.42,5.27,5.02,2.4,4.99,4.61
ITJS,T11,KYW25CD00360006T,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-04,Fail,12/19/2025 10:52,12/19/2025 10:57,V1.0.4.1,WIFI_TX-2412-HT20_MCS7-13,,V0.0.1,V0.0.1,,,,,4,5.19,4.73,2.82,4.95,4.62
ITJS,T11,KYW25CD00360006T,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-05,Pass,12/19/2025 11:14,12/19/2025 11:17,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,3.99,5.18,4.65,2.79,2.81,4.55
ITJS,T11,KYW25CD00360006I,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-06,Fail,12/19/2025 11:29,12/19/2025 11:32,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,5.05,5.05,4.67,2.55,4.06,5.17
ITJS,T11,KYW25CD00360006I,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-01,Fail,12/19/2025 11:33,12/19/2025 11:37,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,4.59,5.92,4.84,2.38,4.9,4.86
ITJS,T11,KYW25CD00360006I,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-02,Pass,12/19/2025 11:38,12/19/2025 11:41,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,4.16,6.23,5.14,2.1,4.74,5.46
ITJS,T11,KYW25CD00360006D,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-03,Fail,12/19/2025 11:56:09 AM,12/19/2025 11:59:33 AM,V1.0.4.1,WIFI_TX-2412-OFDM-54M-14,,V0.0.1,V0.0.1,,,,,4.27,5.7,5.15,2.95,3.94,6.56
ITJS,T11,KYW25CD00360006D,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-04,Fail,12/19/2025 12:01:53 PM,12/19/2025 12:05:27 PM,V1.0.4.1,WIFI_TX-2412-OFDM-54M-14,,V0.0.1,V0.0.1,,,,,5.41,5.3,4.97,2.25,3.66,4.55
ITJS,T11,KYW25CD00360006D,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-05,Fail,12/19/2025 1:09:19 PM,12/19/2025 1:12:50 PM,V1.0.4.1,WIFI_TX-2412-OFDM-54M-14,,V0.0.1,V0.0.1,,,,,6.3,5.37,3.6,5.32,5.75,5.5
ITJS,T11,KYW25CD00360006K,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-06,Pass,12/19/2025 11:22:12 AM,12/19/2025 11:25:50 AM,V1.0.4.2,,,V0.0.1,V0.0.1,,,,,3.85,5.7,4.24,2.42,4.25,5.22
