Site,Produt,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,FW_Version,Covarage_Ver,Flow_Ver,Execute_Failure,UNIT_OUT_OF_PROCESS,TestTime,NEP_PASS,WIFI_RX-2412-HT20_MCS7--75_PER,WIFI_RX-2442-HT20_MCS7--75_PER,WIFI_RX-2472-HT20_MCS7--75_PER,WIFI_RX-5180-HT20_MCS7--73_PER,WIFI_RX-5260-HT20_MCS7--73_PER,WIFI_RX-5320-HT20_MCS7--73_PER,WIFI_RX-5500-HT20_MCS7--73_PER,WIFI_RX-5580-HT20_MCS7--73_PER,WIFI_RX-5600-HT20_MCS7--73_PER,WIFI_RX-5660-HT20_MCS7--73_PER,WIFI_RX-5700-HT20_MCS7--73_PER,WIFI_RX-5745-HT20_MCS7--73_PER,WIFI_RX-5785-HT20_MCS7--73_PER,WIFI_RX-5825-HT20_MCS7--73_PER,WIFI_RX-2412-CCK-11M--90_PER,WIFI_RX-2442-CCK-11M--90_PER,WIFI_RX-2472-CCK-11M--90_PER
ITJS,T11,KYW25CD00360006A,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-02,Fail,12/17/2025 8:09:25 PM,12/17/2025 8:20:47 PM,V1.0.3.7,WIFI_TX-2412-OFDM-54M-14,,V0.0.0,V0.0.0,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ITJS,T11,KYW25CD00360006A,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-03,Pass,12/17/2025 8:26:51 PM,12/17/2025 8:29:20 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITJS,T11,KYW25CD00360006C,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-04,Fail,12/19/2025 8:53,12/19/2025 8:56,V1.0.4.1,WIFI_TX-2412-HT20_MCS7-13,,V0.0.0,V0.0.0,,,,,23,3.8,16.6,56.6,58,47.2,44.6,31.6,35.8,37.6,67.8,46.8,79.4,75.8,0,2,4.5
ITJS,T11,KYW25CD00360006C,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-05,Fail,12/19/2025 8:56,12/19/2025 9:00,V1.0.4.1,WIFI_TX-2442-OFDM-54M-14,,V0.0.0,V0.0.0,,,,,29.8,2.8,18.6,54.6,57.6,46.4,49.4,29.2,35.4,43,66.2,55,78.8,75,1,1,1.5
ITJS,T11,KYW25CD00360006C,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-06,Fail,12/19/2025 9:00,12/19/2025 9:04,V1.0.4.1,WIFI_RX-2412-HT20_MCS7--75,,V0.0.0,V0.0.0,,,,,13.6,1.8,91.8,61.2,60.6,45.6,46.6,30.8,33.4,44.8,68.4,47.2,80.2,77.8,0,2,5
ITJS,T11,KYW25CD00360006F,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-01,Fail,12/19/2025 9:29,12/19/2025 9:33,V1.0.4.1,WIFI_TX-2442-OFDM-54M-14,,V0.0.0,V0.0.0,,,,,10.2,4,16,61.6,61.2,49.6,49.6,34.4,37.2,42,70.8,48.4,74.6,79.6,2,1,3
ITJS,T11,KYW25CD00360006F,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-02,Fail,12/19/2025 10:01,12/19/2025 10:05,V1.0.4.1,WIFI_TX-2442-OFDM-54M-14,,V0.0.0,V0.0.0,,,,,16.8,2,16.2,62.8,69.8,56.2,44.2,34.4,38,44.4,68.2,68.2,93,79.2,0.5,1,3.5
ITJS,T11,KYW25CD00360006F,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-03,Pass,12/19/2025 10:20,12/19/2025 10:23,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
ITJS,T11,KYW25CD00360006R,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-04,Pass,12/19/2025 10:24,12/19/2025 10:28,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0
ITJS,T11,KYW25CD00360006S,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-05,Fail,12/19/2025 10:28,12/19/2025 10:31,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,0,0,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
ITJS,T11,KYW25CD00360006S,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-06,Fail,12/19/2025 10:32,12/19/2025 10:35,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,0,0,0,0.4,0,0,0,0.2,0,0,0.2,0,0.2,0.2,0,0,0
ITJS,T11,KYW25CD00360006S,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-01,Pass,12/19/2025 10:40,12/19/2025 10:43,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
ITJS,T11,KYW25CD00360006M,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-02,Fail,12/19/2025 10:45,12/19/2025 10:48,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,0.2,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0
ITJS,T11,KYW25CD00360006M,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-03,Pass,12/19/2025 10:49,12/19/2025 10:52,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,0,0.4,0.2,0,0,0,0,0.2,0,0.2,0,0,0,0.2,0,0,0
ITJS,T11,KYW25CD00360006T,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-04,Fail,12/19/2025 10:52,12/19/2025 10:57,V1.0.4.1,WIFI_TX-2412-HT20_MCS7-13,,V0.0.1,V0.0.1,,,,,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
ITJS,T11,KYW25CD00360006T,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-05,Pass,12/19/2025 11:14,12/19/2025 11:17,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,0,0,0,0.2,0,0.4,0.2,0,0,0,0,0,0.2,0,0,0,0
ITJS,T11,KYW25CD00360006I,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-06,Fail,12/19/2025 11:29,12/19/2025 11:32,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,0,0.2,0,0,0.2,0.2,0,0,0,0,0,0.2,0,0.4,0,0,0
ITJS,T11,KYW25CD00360006I,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-01,Fail,12/19/2025 11:33,12/19/2025 11:37,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,0,0,0,0.2,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0.5
ITJS,T11,KYW25CD00360006I,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-02,Pass,12/19/2025 11:38,12/19/2025 11:41,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,0,0,0,0.4,0,0,0.2,0.2,0,0.2,0,1.6,0,0,0,0.5,0
ITJS,T11,KYW25CD00360006D,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-03,Fail,12/19/2025 11:56:09 AM,12/19/2025 11:59:33 AM,V1.0.4.1,WIFI_TX-2412-OFDM-54M-14,,V0.0.1,V0.0.1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITJS,T11,KYW25CD00360006D,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-04,Fail,12/19/2025 12:01:53 PM,12/19/2025 12:05:27 PM,V1.0.4.1,WIFI_TX-2412-OFDM-54M-14,,V0.0.1,V0.0.1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITJS,T11,KYW25CD00360006D,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-05,Fail,12/19/2025 1:09:19 PM,12/19/2025 1:12:50 PM,V1.0.4.1,WIFI_TX-2412-OFDM-54M-14,,V0.0.1,V0.0.1,,,,,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0
ITJS,T11,KYW25CD00360006K,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-06,Pass,12/19/2025 11:22:12 AM,12/19/2025 11:25:50 AM,V1.0.4.2,,,V0.0.1,V0.0.1,,,,,0,0,0.2,0,0,0.4,0,0.6,0,0,0,0.2,0,0,0,0,0
