Site,Produt,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,FW_Version,Covarage_Ver,Flow_Ver,Execute_Failure,UNIT_OUT_OF_PROCESS,TestTime,NEP_PASS,BT_TX-2402-2DH5-19_DEVMAVG,BT_TX-2440-2DH5-19_DEVMAVG,BT_TX-2480-2DH5-19_DEVMAVG,BT_TX-2402-3DH5-19_DEVMAVG,BT_TX-2440-3DH5-19_DEVMAVG,BT_TX-2480-3DH5-19_DEVMAVG
ITJS,T11,KYW25CD00360006A,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-03,Pass,12/17/2025 8:26:51 PM,12/17/2025 8:29:20 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,1.99,2.35,1.9,0.61,0.68,0.7
ITJS,T11,KYW25CD00360006C,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-04,Fail,12/19/2025 8:53,12/19/2025 8:56,V1.0.4.1,WIFI_TX-2412-HT20_MCS7-13,,V0.0.0,V0.0.0,,,,,1.93,2.31,1.91,0.64,0.63,0.71
ITJS,T11,KYW25CD00360006C,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-05,Fail,12/19/2025 8:56,12/19/2025 9:00,V1.0.4.1,WIFI_TX-2442-OFDM-54M-14,,V0.0.0,V0.0.0,,,,,1.89,2.24,1.95,0.62,0.66,0.71
ITJS,T11,KYW25CD00360006C,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-06,Fail,12/19/2025 9:00,12/19/2025 9:04,V1.0.4.1,WIFI_RX-2412-HT20_MCS7--75,,V0.0.0,V0.0.0,,,,,1.9,2.26,1.96,0.62,0.67,0.72
ITJS,T11,KYW25CD00360006F,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-01,Fail,12/19/2025 9:29,12/19/2025 9:33,V1.0.4.1,WIFI_TX-2442-OFDM-54M-14,,V0.0.0,V0.0.0,,,,,1.83,2.18,1.9,0.64,0.67,0.71
ITJS,T11,KYW25CD00360006F,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-02,Fail,12/19/2025 10:01,12/19/2025 10:05,V1.0.4.1,WIFI_TX-2442-OFDM-54M-14,,V0.0.0,V0.0.0,,,,,1.89,2.3,1.92,0.63,0.65,0.7
ITJS,T11,KYW25CD00360006F,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-03,Pass,12/19/2025 10:20,12/19/2025 10:23,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,1.87,2.26,1.94,0.61,0.68,0.7
ITJS,T11,KYW25CD00360006R,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-04,Pass,12/19/2025 10:24,12/19/2025 10:28,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,1.96,2.27,1.95,0.62,0.65,0.7
ITJS,T11,KYW25CD00360006S,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-05,Fail,12/19/2025 10:28,12/19/2025 10:31,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,1.93,2.27,1.97,0.61,0.66,0.72
ITJS,T11,KYW25CD00360006S,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-06,Fail,12/19/2025 10:32,12/19/2025 10:35,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,1.79,2.21,1.87,0.6,0.66,0.73
ITJS,T11,KYW25CD00360006S,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-01,Pass,12/19/2025 10:40,12/19/2025 10:43,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,1.9,2.28,1.92,0.63,0.65,0.71
ITJS,T11,KYW25CD00360006M,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-02,Fail,12/19/2025 10:45,12/19/2025 10:48,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,1.89,2.24,1.92,0.62,0.66,0.71
ITJS,T11,KYW25CD00360006M,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-03,Pass,12/19/2025 10:49,12/19/2025 10:52,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,1.89,2.25,1.95,0.62,0.66,0.7
ITJS,T11,KYW25CD00360006T,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-04,Fail,12/19/2025 10:52,12/19/2025 10:57,V1.0.4.1,WIFI_TX-2412-HT20_MCS7-13,,V0.0.1,V0.0.1,,,,,1.82,2.15,1.74,0.62,0.66,0.7
ITJS,T11,KYW25CD00360006T,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-05,Pass,12/19/2025 11:14,12/19/2025 11:17,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,1.78,2.16,1.83,0.62,0.66,0.7
ITJS,T11,KYW25CD00360006I,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-06,Fail,12/19/2025 11:29,12/19/2025 11:32,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,1.78,2.12,1.75,0.62,0.67,0.7
ITJS,T11,KYW25CD00360006I,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-01,Fail,12/19/2025 11:33,12/19/2025 11:37,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,1.93,2.23,1.9,0.59,0.66,0.72
ITJS,T11,KYW25CD00360006I,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-02,Pass,12/19/2025 11:38,12/19/2025 11:41,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,1.82,2.22,1.87,0.6,0.66,0.7
ITJS,T11,KYW25CD00360006D,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-03,Fail,12/19/2025 11:56:09 AM,12/19/2025 11:59:33 AM,V1.0.4.1,WIFI_TX-2412-OFDM-54M-14,,V0.0.1,V0.0.1,,,,,1.85,2.25,1.94,0.62,0.68,0.73
ITJS,T11,KYW25CD00360006D,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-04,Fail,12/19/2025 12:01:53 PM,12/19/2025 12:05:27 PM,V1.0.4.1,WIFI_TX-2412-OFDM-54M-14,,V0.0.1,V0.0.1,,,,,1.9,2.28,2,0.62,0.66,0.68
ITJS,T11,KYW25CD00360006D,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-05,Fail,12/19/2025 1:09:19 PM,12/19/2025 1:12:50 PM,V1.0.4.1,WIFI_TX-2412-OFDM-54M-14,,V0.0.1,V0.0.1,,,,,2.2,1.94,1.63,0.62,0.66,0.73
ITJS,T11,KYW25CD00360006K,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-06,Pass,12/19/2025 11:22:12 AM,12/19/2025 11:25:50 AM,V1.0.4.2,,,V0.0.1,V0.0.1,,,,,1.76,2.09,1.77,0.62,0.67,0.71
